Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
5	3.739609	4.053069	49.07416	98027.28	0	0	2.014966667	403.1239842
5	3.259626	3.778208	52.13112	98026.89	0	0	2.018266667	403.9761998
5	2.81146	3.836036	54.68422	98030.33	0	0	2.009266667	404.3558773
5	2.610307	3.221014	53.99746	98038.85	0	0	2.008166667	404.6868999
5	2.32982	3.742836	52.9658	98049.34	0	0	2.0053	405.0814015
5	2.088038	4.319706	52.91486	98035.62	0	0	2.0057	405.5513787
5	1.940554	3.262613	52.76892	98020.98	0	0	2.0065	405.7298734
5	0.7162687	1.147563	61.68909	98013.73	0	0	1.978433333	406.7715315
5	0.3635045	0.797779	64.53668	97999.65	0	0	1.992466667	407.0686419
5	0.0477908	0.5597427	65.69588	97981.96	0	0	1.991733333	407.2698811
5	-0.03058532	0.6922076	65.0911	97959.82	0	0	1.9899	407.249966
5	-0.1041936	1.020836	65.63902	97928.92	0	0	1.982833333	407.4597407
5	-0.08775567	0.6743191	63.1983	97913.17	0	0	1.9822	407.9859247
5	-0.2163947	1.014077	63.36297	97920.23	0	0	1.9829	407.4537367
6	-0.2196494	0.654744	62.66486	97899.17	0	0	1.980133333	407.0027576
6	-0.1649957	1.074675	60.89952	97866.95	0	0	1.976533333	407.219384
6	0.04019525	0.8373658	58.58515	97860.54	0	0	1.963666667	407.0789521
6	-0.3194347	0.7959803	61.07476	97837.77	0	0	1.965866667	407.8841281
6	-0.8065007	1.541165	64.92567	97822.55	0	0	1.965766667	409.0024475
6	-0.5211614	0.9975023	60.8719	97818.29	0	0	1.9556	407.8219569
6	-0.9227489	1.522834	64.00078	97813.86	0	0	1.956433333	408.8391135
6	-0.7210296	1.36947	61.522	97800.01	0	0	1.951866667	408.1323835
6	-1.174732	0.7294375	64.71928	97786.8	0	0	1.951766667	408.8873247
6	-1.141883	1.292303	64.68758	97775.9	0	0	1.941433333	409.1751368
6	-1.019912	0.8732049	63.43944	97771.56	0	0	1.9494	408.7602156
6	-0.6583117	0.5970653	61.29483	97755.94	0	0	1.93224	408.1124562
6	-0.750546	0.313787	61.75762	97744.06	0	0	1.928303333	407.9018068
6	-0.7384564	0.7176884	62.52323	97741.96	0	0	1.924056667	408.2751483
6	-1.097317	0.4698532	64.42251	97732.65	0	0	1.921906667	408.3472058
6	-0.8155358	0.5956444	63.03005	97735.47	0	0	1.920143333	408.003005
6	-1.141506	0.6447817	65.52057	97744.71	0	0	1.912976667	408.5406541
6	-1.246689	0.8506574	67.32049	97752.73	21.56	48.47	1.91565	409.4650583
6	-0.8050652	1.290213	65.29816	97746.03	65.2	138.3	1.908946667	408.7491125
6	-0.4054947	0.5459858	63.33798	97755.14	97.3	214.9	1.901686667	408.7105012
6	-0.187609	0.7629392	63.20117	97747.96	136.6	305.9	1.888923333	408.6828481
6	1.471323	0.183831	54.50556	97720.19	227.6	491.4	1.897936667	406.4814963
6	2.177021	0.4840993	50.41021	97697.6	173.2	395.5	1.896516667	405.1228475
6	2.165426	0.5104588	48.45998	97664.04	204.1	466.4	1.894356667	403.6770874
6	2.855962	0.4876348	45.60078	97618.54	216.7	497.7	1.89453	402.4315707
6	3.695563	0.48144	40.08809	97574.9	352.2	784	1.89306	402.0395859
6	3.639256	1.77251	37.71651	97515.42	213.9	488.9	1.887326667	402.0597596
6	3.528841	1.762948	36.97323	97466.32	144.4	326.4	1.88627	401.662221
6	3.331921	1.550194	36.8322	97420.29	100	229.6	1.889386667	401.2416086
6	3.232301	1.682948	37.67148	97388.82	121.7	274.3	1.858543333	401.1499787
6	3.179965	1.421243	38.19786	97381.9	92.3	209.9	1.884613333	401.0142768
6	2.98217	1.346301	40.13761	97391.06	65.37	149.4	1.879266667	401.1229125
6	2.7571	0.9294814	41.20732	97364.62	33.06	76	1.87672	401.4367695
6	2.382785	1.209095	44.71246	97354.62	9.11	21.93	1.87865	401.6910331
6	2.18549	0.03693491	45.93034	97345.57	0	0	1.872906667	401.9088972
